ORDER_ID,CUST_ID,CUST_ID_CHAR,CUST_ID_DUP,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE
21,12196,C12196,C12196,11/11/2008 12:00:00.000 AM,11/11/2008 09:47:56.111 PM,11.15,WE220 ,12/16/2008 12:00:00.000 AM,25/12/08
22,10060,C10060,C10060,3/14/2008 12:00:00.000 AM,3/14/2008 02:22:36.169 AM,11.15,SW214 ,3/29/2008 12:00:00.000 AM,09/04/08
23,10893,C10893,C10893,10/20/2008 12:00:00.000 AM,10/20/2008 08:07:39.114 PM,11.15,WE286 ,11/20/2008 12:00:00.000 AM,30/11/08
24,13210,C13210,C13210,2/23/2008 12:00:00.000 AM,2/23/2008 08:47:44.295 PM,11.15,WE283 ,3/2/2008 12:00:00.000 AM,10/03/08
25,12586,C12586,C12586,3/10/2008 12:00:00.000 AM,3/10/2008 06:22:36.169 AM,11.15,NC166 ,3/20/2008 12:00:00.000 AM,30/03/08
26,13490,C13490,C13490,8/3/2008 12:00:00.000 AM,8/3/2008 05:27:54.295 PM,11.15,NE172 ,9/2/2008 12:00:00.000 AM,10/08/08
27,11345,C11345,C11345,6/23/2008 12:00:00.000 AM,6/23/2008 03:29:06.075 PM,11.15,NC298 ,7/15/2008 12:00:00.000 AM,27/07/08
28,10215,C10215,C10215,6/11/2008 12:00:00.000 AM,6/11/2008 03:36:44.265 PM,13.88,RP319 ,7/10/2008 12:00:00.000 AM,20/07/08
29,11370,C11370,C11370,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,18.24,RP121 ,3/16/2009 05:47:25.000 PM,05/08/09
30,11925,C11925,C11925,7/29/2008 12:00:00.000 AM,7/29/2008 08:59:06.075 PM,11.15,SC325 ,6/16/2008 12:00:00.000 AM,27/06/08
31,12188,C12188,C12188,12/25/2008 12:00:00.000 AM,12/25/2008 09:32:50.226 AM,13.7,NW247 ,1/9/2009 12:00:00.000 AM,15/01/09
32,12066,C12066,C12066,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,19.81,NE175 ,3/16/2009 05:47:25.000 PM,05/08/09
33,10272,C10272,C10272,11/13/2008 12:00:00.000 AM,11/13/2008 09:59:36.075 PM,22.77,SC199 ,12/19/2008 12:00:00.000 AM,27/12/08
34,12861,C12861,C12861,4/10/2008 12:00:00.000 AM,4/10/2008 06:36:44.265 PM,23.78,NW310 ,4/29/2008 12:00:00.000 AM,10/05/08
35,11051,C11051,C11051,9/12/2008 12:00:00.000 AM,9/12/2008 06:11:26.077 AM,6.37,SE136 ,9/29/2008 12:00:00.000 AM,09/10/08
36,10080,C10080,C10080,11/19/2008 12:00:00.000 AM,11/19/2008 04:34:16.169 AM,24.08,WE355 ,12/10/2008 12:00:00.000 AM,20/12/08
37,11184,C11184,C11184,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,18.45,NE109 ,3/16/2009 05:47:25.000 PM,05/08/09
38,12116,C12116,C12116,1/8/2008 12:00:00.000 AM,1/8/2008 03:13:54.169 AM,8.15,SW277 ,2/20/2008 12:00:00.000 AM,27/03/08
39,12575,C12575,C12575,10/20/2008 12:00:00.000 AM,10/20/2008 08:07:39.114 PM,33.85,WE286 ,11/20/2008 12:00:00.000 AM,30/11/08
40,13228,C13228,C13228,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,16.25,SC124 ,3/16/2009 05:47:25.000 PM,05/08/09
41,12464,C12464,C12464,1/23/2008 12:00:00.000 AM,1/23/2008 06:23:54.169 PM,68.57,NC295 ,2/16/2008 12:00:00.000 AM,27/02/08
42,11872,C11872,C11872,8/25/2008 12:00:00.000 AM,8/25/2008 04:39:06.075 PM,26.87,NC160 ,9/19/2008 12:00:00.000 AM,27/09/08
43,12753,C12753,C12753,1/16/2008 12:00:00.000 AM,1/16/2008 08:13:54.169 AM,23.12,NC292 ,2/10/2008 12:00:00.000 AM,27/02/08
44,11784,C11784,C11784,11/10/2008 12:00:00.000 AM,11/10/2008 05:43:54.241 PM,33.99,NE373 ,11/30/2008 12:00:00.000 AM,12/12/08
45,12957,C12957,C12957,12/28/2008 12:00:00.000 AM,12/28/2008 04:44:52.166 AM,11.15,SE205 ,1/19/2009 12:00:00.000 AM,25/01/09
46,10773,C10773,C10773,1/28/2008 12:00:00.000 AM,1/28/2008 01:13:54.169 PM,13.7,NE106 ,2/26/2008 12:00:00.000 AM,07/03/08
47,11019,C11019,C11019,6/1/2008 12:00:00.000 AM,6/1/2008 04:58:44.265 PM,13.7,NC361 ,7/20/2008 12:00:00.000 AM,30/07/08
48,12157,C12157,C12157,11/3/2008 12:00:00.000 AM,11/3/2008 08:44:16.169 AM,13.7,NE178 ,12/1/2008 12:00:00.000 AM,20/12/08
49,10224,C10224,C10224,11/12/2008 12:00:00.000 AM,12/12/2008 03:19:56.043 AM,13.7,SE139 ,1/23/2009 12:00:00.000 AM,03/02/09
50,10702,C10702,C10702,1/6/2008 12:00:00.000 AM,1/6/2008 06:23:54.169 PM,13.7,NW118 ,1/26/2008 12:00:00.000 AM,07/02/08
51,10725,C10725,C10725,6/11/2008 12:00:00.000 AM,6/11/2008 03:36:44.265 PM,13.7,RP319 ,7/10/2008 12:00:00.000 AM,20/07/08
52,11449,C11449,C11449,5/11/2008 12:00:00.000 AM,5/11/2008 09:27:55.166 PM,13.7,SW217 ,5/30/2008 12:00:00.000 AM,10/06/08
53,11325,C11325,C11325,1/8/2008 12:00:00.000 AM,1/8/2008 03:13:54.169 AM,13.7,SW277 ,2/20/2008 12:00:00.000 AM,27/03/08
54,11713,C11713,C11713,11/3/2008 12:00:00.000 AM,11/3/2008 07:43:54.241 PM,13.7,NC364 ,12/4/2008 12:00:00.000 AM,12/12/08
55,10412,C10412,C10412,2/5/2008 12:00:00.000 AM,2/5/2008 09:25:36.169 AM,13.7,SE133 ,2/20/2008 12:00:00.000 AM,07/03/08
56,10696,C10696,C10696,5/11/2008 12:00:00.000 AM,5/11/2008 09:27:55.166 PM,13.7,SW217 ,5/30/2008 12:00:00.000 AM,10/06/08
57,12981,C12981,C12981,3/28/2008 12:00:00.000 AM,3/28/2008 02:22:36.169 AM,13.7,WE421 ,4/3/2008 12:00:00.000 AM,19/04/08
58,12303,C12303,C12303,3/10/2008 12:00:00.000 AM,3/10/2008 06:22:36.169 AM,13.7,NC166 ,3/20/2008 12:00:00.000 AM,30/03/08
59,13133,C13133,C13133,2/6/2008 12:00:00.000 AM,2/6/2008 01:07:36.111 PM,11.15,NW379 ,2/20/2008 12:00:00.000 AM,01/03/08
60,10197,C10197,C10197,11/13/2008 12:00:00.000 AM,11/13/2008 09:59:36.075 PM,11.15,SC199 ,12/19/2008 12:00:00.000 AM,27/12/08
61,13176,C13176,C13176,1/22/2008 12:00:00.000 AM,1/22/2008 10:39:06.075 PM,11.15,SE337 ,3/10/2008 12:00:00.000 AM,27/03/08
62,11990,C11990,C11990,8/10/2008 12:00:00.000 AM,8/10/2008 10:07:24.145 PM,11.15,NW382 ,9/8/2008 12:00:00.000 AM,10/08/08
63,10434,C10434,C10434,11/11/2008 12:00:00.000 AM,11/11/2008 09:47:56.111 PM,11.15,WE220 ,12/16/2008 12:00:00.000 AM,25/12/08
64,12368,C12368,C12368,9/16/2007 12:00:00.000 AM,9/16/2007 09:11:26.077 AM,11.15,NE370 ,9/30/2007 12:00:00.000 AM,09/10/07
65,12106,C12106,C12106,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,11.15,SC394 ,3/16/2009 05:47:25.000 PM,05/08/09
66,12250,C12250,C12250,5/30/2008 12:00:00.000 AM,5/30/2008 05:27:39.114 PM,11.15,NC427 ,6/20/2008 12:00:00.000 AM,10/07/08
67,12880,C12880,C12880,11/11/2008 12:00:00.000 AM,11/11/2008 09:47:56.111 PM,11.15,WE220 ,12/16/2008 12:00:00.000 AM,25/12/08
68,11836,C11836,C11836,1/6/2008 12:00:00.000 AM,1/6/2008 06:23:54.169 PM,11.15,NW118 ,1/26/2008 12:00:00.000 AM,07/02/08
69,10675,C10675,C10675,9/19/2008 12:00:00.000 AM,9/19/2008 07:57:35.166 PM,11.15,SE334 ,9/30/2008 12:00:00.000 AM,10/09/08
70,12442,C12442,C12442,11/3/2008 12:00:00.000 AM,11/3/2008 08:44:16.169 AM,11.15,NE178 ,12/1/2008 12:00:00.000 AM,20/12/08
71,12624,C12624,C12624,9/16/2007 12:00:00.000 AM,9/16/2007 09:11:26.077 AM,11.15,NE370 ,9/30/2007 12:00:00.000 AM,09/10/07
72,13499,C13499,C13499,12/16/2008 12:00:00.000 AM,12/16/2008 07:32:59.136 AM,38.99,SW346 ,1/1/2009 12:00:00.000 AM,05/01/09
73,10709,C10709,C10709,12/7/2008 12:00:00.000 AM,12/7/2008 08:43:52.166 AM,19.85,SW274 ,1/22/2009 12:00:00.000 AM,25/01/09
74,11995,C11995,C11995,10/7/2008 12:00:00.000 AM,10/7/2008 09:33:59.136 PM,6.38,SE265 ,11/20/2008 12:00:00.000 AM,25/11/08
75,13345,C13345,C13345,6/11/2008 12:00:00.000 AM,6/11/2008 03:36:44.265 PM,24.08,RP319 ,7/10/2008 12:00:00.000 AM,20/07/08
76,10882,C10882,C10882,1/22/2008 12:00:00.000 AM,1/22/2008 10:39:06.075 PM,11.35,SE337 ,3/10/2008 12:00:00.000 AM,27/03/08
77,10658,C10658,C10658,8/25/2008 12:00:00.000 AM,8/25/2008 04:39:06.075 PM,6.87,NC160 ,9/19/2008 12:00:00.000 AM,27/09/08
78,10365,C10365,C10365,8/31/2008 12:00:00.000 AM,8/31/2008 07:17:24.175 PM,5.85,NC100 ,9/10/2008 12:00:00.000 AM,20/08/08
79,10745,C10745,C10745,10/20/2008 12:00:00.000 AM,10/20/2008 08:07:39.114 PM,11.15,WE286 ,11/20/2008 12:00:00.000 AM,30/11/08
80,10224,C10224,C10224,11/11/2008 12:00:00.000 AM,11/11/2008 01:34:16.169 AM,13.7,NW115 ,12/8/2008 12:00:00.000 AM,19/12/08
81,11104,C11104,C11104,11/18/2008 12:00:00.000 AM,11/18/2008 09:33:44.241 PM,11.45,NE367 ,12/10/2008 12:00:00.000 AM,20/12/08
82,10899,C10899,C10899,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,11.15,SW211 ,3/16/2009 05:47:25.000 PM,05/08/09
83,11225,C11225,C11225,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,22.77,SW412 ,3/16/2009 05:47:25.000 PM,05/08/09
84,12551,C12551,C12551,11/11/2008 12:00:00.000 AM,11/11/2008 06:24:36.075 PM,17.23,SC328 ,12/13/2008 12:00:00.000 AM,20/12/08
85,11248,C11248,C11248,2/29/2008 12:00:00.000 AM,2/29/2008 10:39:06.075 PM,1.49,SE331 ,3/17/2008 12:00:00.000 AM,27/03/08
86,13161,C13161,C13161,12/25/2008 12:00:00.000 AM,12/25/2008 09:32:50.226 AM,27.99,NW247 ,1/9/2009 12:00:00.000 AM,15/01/09
87,12573,C12573,C12573,1/6/2008 12:00:00.000 AM,1/6/2008 06:23:54.169 PM,18.24,NW118 ,1/26/2008 12:00:00.000 AM,07/02/08
88,12575,C12575,C12575,3/28/2008 12:00:00.000 AM,3/28/2008 02:22:36.169 AM,33.85,WE421 ,4/3/2008 12:00:00.000 AM,19/04/08
89,13330,C13330,C13330,11/25/2008 12:00:00.000 AM,11/25/2008 04:23:44.241 PM,5.85,NW244 ,12/7/2008 12:00:00.000 AM,15/12/08
90,10799,C10799,C10799,4/2/2008 12:00:00.000 AM,4/2/2008 04:33:44.265 PM,11.15,NW112 ,4/28/2008 12:00:00.000 AM,30/05/08
91,10770,C10770,C10770,9/23/2008 12:00:00.000 AM,9/23/2008 04:43:54.169 PM,12.5,NW187 ,10/10/2008 12:00:00.000 AM,22/10/08
92,10166,C10166,C10166,4/10/2008 12:00:00.000 AM,4/10/2008 10:47:52.166 PM,35.42,NE241 ,4/22/2008 12:00:00.000 AM,25/04/08
93,10958,C10958,C10958,12/10/2008 12:00:00.000 AM,12/10/2008 01:32:59.136 AM,29.79,NC232 ,1/22/2009 12:00:00.000 AM,25/01/09
94,12154,C12154,C12154,5/13/2008 12:00:00.000 AM,5/13/2008 04:58:44.265 PM,17.9,NW313 ,5/28/2008 12:00:00.000 AM,30/05/08
95,13252,C13252,C13252,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,16.85,SC196 ,3/16/2009 05:47:25.000 PM,05/08/09
96,11338,C11338,C11338,8/3/2008 12:00:00.000 AM,8/3/2008 05:27:54.295 PM,33.99,NE172 ,9/2/2008 12:00:00.000 AM,10/08/08
97,11676,C11676,C11676,8/19/2008 12:00:00.000 AM,8/19/2008 01:34:16.169 AM,13.77,SE403 ,8/29/2008 12:00:00.000 AM,09/09/08
98,11854,C11854,C11854,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,21.97,NE109 ,3/16/2009 05:47:25.000 PM,05/08/09
99,10697,C10697,C10697,8/25/2008 12:00:00.000 AM,8/25/2008 04:39:06.075 PM,8.99,NC160 ,9/19/2008 12:00:00.000 AM,27/09/08
100,12238,C12238,C12238,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,30,NC163 ,3/16/2009 05:47:25.000 PM,05/08/09
101,10991,C10991,C10991,6/1/2008 12:00:00.000 AM,6/1/2008 04:58:44.265 PM,16.33,NC361 ,7/20/2008 12:00:00.000 AM,30/07/08
102,10358,C10358,C10358,4/29/2008 12:00:00.000 AM,4/29/2008 08:59:06.075 PM,28.55,WE349 ,6/15/2008 12:00:00.000 AM,27/06/08
103,12040,C12040,C12040,2/6/2008 12:00:00.000 AM,2/6/2008 01:07:36.111 PM,13.88,NW379 ,2/20/2008 12:00:00.000 AM,01/03/08
104,11645,C11645,C11645,9/16/2007 12:00:00.000 AM,9/16/2007 09:11:26.077 AM,14.28,NE370 ,9/30/2007 12:00:00.000 AM,09/10/07
105,13227,C13227,C13227,3/14/2008 12:00:00.000 AM,3/14/2008 02:22:36.169 AM,30,SW214 ,3/29/2008 12:00:00.000 AM,09/04/08
106,11387,C11387,C11387,4/26/2008 12:00:00.000 AM,4/26/2008 02:22:36.169 AM,16.83,NE238 ,5/5/2008 12:00:00.000 AM,19/05/08
107,11181,C11181,C11181,11/3/2008 12:00:00.000 AM,11/3/2008 07:43:54.241 PM,23.37,NC364 ,12/4/2008 12:00:00.000 AM,12/12/08
108,13385,C13385,C13385,3/14/2008 12:00:00.000 AM,3/14/2008 02:22:36.169 AM,6.15,SW214 ,3/29/2008 12:00:00.000 AM,09/04/08
109,13514,C13514,C13514,2/17/2008 12:00:00.000 AM,2/17/2008 05:25:36.169 AM,19.85,NE307 ,3/10/2008 12:00:00.000 AM,20/04/08
110,13129,C13129,C13129,4/14/2009 12:00:00.000 AM,4/14/2009 07:32:45.034 AM,9,NE301 ,7/23/2009 12:00:00.000 AM,12/08/09
111,10395,C10395,C10395,12/10/2008 12:00:00.000 AM,12/10/2008 01:32:59.136 AM,5.85,NC232 ,1/22/2009 12:00:00.000 AM,25/01/09
112,11417,C11417,C11417,9/19/2008 12:00:00.000 AM,9/19/2008 07:57:35.166 PM,11.15,SE334 ,9/30/2008 12:00:00.000 AM,10/09/08
113,12447,C12447,C12447,11/3/2008 12:00:00.000 AM,11/3/2008 07:43:54.241 PM,13.7,NC364 ,12/4/2008 12:00:00.000 AM,12/12/08
114,11382,C11382,C11382,5/11/2008 12:00:00.000 AM,5/11/2008 09:27:55.166 PM,6.37,SW217 ,5/30/2008 12:00:00.000 AM,10/06/08
115,10524,C10524,C10524,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,23.89,SC196 ,3/16/2009 05:47:25.000 PM,05/08/09
116,12665,C12665,C12665,1/28/2008 12:00:00.000 AM,1/28/2008 01:13:54.169 PM,48.52,NE106 ,2/26/2008 12:00:00.000 AM,07/03/08
117,12684,C12684,C12684,4/20/2008 12:00:00.000 AM,4/20/2008 10:38:44.265 PM,21.97,SE202 ,4/28/2008 12:00:00.000 AM,30/05/08
118,10756,C10756,C10756,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,21.97,RP121 ,3/16/2009 05:47:25.000 PM,05/08/09
119,11184,C11184,C11184,3/4/2008 12:00:00.000 AM,3/4/2008 02:25:36.169 AM,10.45,WE415 ,3/20/2008 12:00:00.000 AM,30/03/08
120,10672,C10672,C10672,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,43.89,NE109 ,3/16/2009 05:47:25.000 PM,05/08/09
121,12972,C12972,C12972,4/29/2008 12:00:00.000 AM,4/29/2008 08:59:06.075 PM,10.15,WE349 ,6/15/2008 12:00:00.000 AM,27/06/08
122,12911,C12911,C12911,4/2/2008 12:00:00.000 AM,4/2/2008 04:33:44.265 PM,16.33,NW112 ,4/28/2008 12:00:00.000 AM,30/05/08
123,10138,C10138,C10138,9/19/2008 12:00:00.000 AM,9/19/2008 07:57:35.166 PM,68.57,SE334 ,9/30/2008 12:00:00.000 AM,10/09/08
124,13457,C13457,C13457,5/1/2008 12:00:00.000 AM,5/1/2008 04:58:44.265 PM,14.28,SW343 ,5/20/2008 12:00:00.000 AM,30/05/08
125,13309,C13309,C13309,5/12/2008 12:00:00.000 AM,5/12/2008 08:07:36.111 PM,19.25,NC424 ,6/20/2008 12:00:00.000 AM,01/07/08
126,13162,C13162,C13162,4/9/2008 12:00:00.000 AM,4/9/2008 07:27:56.111 PM,23.78,SE268 ,12/5/2008 12:00:00.000 AM,16/12/08
127,13461,C13461,C13461,12/25/2008 12:00:00.000 AM,12/25/2008 06:12:46.040 AM,10.45,SW280 ,2/23/2009 12:00:00.000 AM,03/03/09
128,10330,C10330,C10330,10/22/2008 12:00:00.000 AM,10/22/2008 05:33:26.077 PM,50,NC229 ,11/8/2008 12:00:00.000 AM,20/11/08
129,12823,C12823,C12823,11/11/2008 12:00:00.000 AM,11/11/2008 01:34:16.169 AM,16.85,NW115 ,12/8/2008 12:00:00.000 AM,19/12/08
130,10144,C10144,C10144,5/1/2008 12:00:00.000 AM,5/1/2008 04:58:44.265 PM,19.25,SW343 ,5/20/2008 12:00:00.000 AM,30/05/08
131,13176,C13176,C13176,12/7/2008 12:00:00.000 AM,12/7/2008 08:43:52.166 AM,17.23,SW274 ,1/22/2009 12:00:00.000 AM,25/01/09
132,12539,C12539,C12539,5/19/2008 12:00:00.000 AM,5/19/2008 08:47:39.114 PM,29.79,SC388 ,6/2/2008 12:00:00.000 AM,15/06/08
133,10627,C10627,C10627,8/31/2008 12:00:00.000 AM,8/31/2008 07:17:24.175 PM,19.81,NC100 ,9/10/2008 12:00:00.000 AM,20/08/08
134,13469,C13469,C13469,5/12/2008 12:00:00.000 AM,5/12/2008 08:07:36.111 PM,29.88,NC424 ,6/20/2008 12:00:00.000 AM,01/07/08
135,11386,C11386,C11386,2/5/2008 12:00:00.000 AM,2/5/2008 09:25:36.169 AM,11.15,SE133 ,2/20/2008 12:00:00.000 AM,07/03/08
136,11471,C11471,C11471,4/9/2008 12:00:00.000 AM,4/9/2008 07:27:56.111 PM,12.85,SE268 ,12/5/2008 12:00:00.000 AM,16/12/08
137,10538,C10538,C10538,4/14/2009 12:00:00.000 AM,4/14/2009 07:32:45.034 AM,33.85,NE301 ,7/23/2009 12:00:00.000 AM,12/08/09
138,12967,C12967,C12967,11/3/2008 12:00:00.000 AM,11/3/2008 07:43:54.241 PM,6.38,NC364 ,12/4/2008 12:00:00.000 AM,12/12/08
139,10027,C10027,C10027,11/8/2008 12:00:00.000 AM,11/8/2008 09:33:44.241 PM,24.08,NW184 ,12/10/2008 12:00:00.000 AM,20/12/08
140,11673,C11673,C11673,3/28/2008 12:00:00.000 AM,3/28/2008 11:58:44.265 PM,18.45,SC322 ,4/20/2008 12:00:00.000 AM,10/05/08
141,12252,C12252,C12252,5/19/2008 12:00:00.000 AM,5/19/2008 08:47:39.114 PM,12.85,SC388 ,6/2/2008 12:00:00.000 AM,15/06/08
142,12855,C12855,C12855,8/9/2008 12:00:00.000 AM,8/9/2008 02:48:36.075 AM,6.37,NW376 ,9/16/2008 12:00:00.000 AM,20/09/08
143,11323,C11323,C11323,8/9/2008 12:00:00.000 AM,8/9/2008 02:48:36.075 AM,18.45,NW376 ,9/16/2008 12:00:00.000 AM,20/09/08
144,11380,C11380,C11380,12/16/2008 12:00:00.000 AM,12/16/2008 07:32:59.136 AM,8.15,SW346 ,1/1/2009 12:00:00.000 AM,05/01/09
145,11711,C11711,C11711,6/1/2008 12:00:00.000 AM,6/1/2008 04:58:44.265 PM,33.85,NC361 ,7/20/2008 12:00:00.000 AM,30/07/08
146,12916,C12916,C12916,11/25/2008 12:00:00.000 AM,11/25/2008 04:23:44.241 PM,16.25,NW244 ,12/7/2008 12:00:00.000 AM,15/12/08
147,10779,C10779,C10779,4/30/2008 12:00:00.000 AM,4/30/2008 01:02:36.169 AM,68.57,NE235 ,5/19/2008 12:00:00.000 AM,29/05/08
148,10254,C10254,C10254,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,26.87,SC124 ,3/16/2009 05:47:25.000 PM,05/08/09
149,12675,C12675,C12675,3/16/2009 05:47:25.000 PM,3/16/2009 05:47:25.112 PM,23.12,SC124 ,3/16/2009 05:47:25.000 PM,05/08/09
150,10318,C10318,C10318,7/29/2008 12:00:00.000 AM,7/29/2008 08:59:06.075 PM,33.99,SC325 ,6/16/2008 12:00:00.000 AM,27/06/08
151,11392,C11392,C11392,8/3/2008 12:00:00.000 AM,8/3/2008 05:27:54.295 PM,11.15,NE172 ,9/2/2008 12:00:00.000 AM,10/08/08
152,13495,C13495,C13495,3/14/2008 12:00:00.000 AM,3/14/2008 02:22:36.169 AM,13.7,SW214 ,3/29/2008 12:00:00.000 AM,09/04/08
153,10046,C10046,C10046,3/19/2008 12:00:00.000 AM,3/19/2008 02:22:36.169 AM,13.7,SW148 ,4/3/2008 12:00:00.000 AM,19/04/08
154,10930,C10930,C10930,8/19/2008 12:00:00.000 AM,8/19/2008 01:34:16.169 AM,13.7,SE403 ,8/29/2008 12:00:00.000 AM,09/09/08
155,10119,C10119,C10119,1/6/2008 12:00:00.000 AM,1/6/2008 06:23:54.169 PM,13.7,NW118 ,1/26/2008 12:00:00.000 AM,07/02/08
156,10590,C10590,C10590,11/11/2008 12:00:00.000 AM,11/11/2008 06:24:36.075 PM,13.7,SC328 ,12/13/2008 12:00:00.000 AM,20/12/08
157,12268,C12268,C12268,11/25/2008 12:00:00.000 AM,11/25/2008 04:23:44.241 PM,13.7,NW244 ,12/7/2008 12:00:00.000 AM,15/12/08
158,13148,C13148,C13148,1/16/2008 12:00:00.000 AM,1/16/2008 08:13:54.169 AM,13.7,NC292 ,2/10/2008 12:00:00.000 AM,27/02/08
159,10756,C10756,C10756,4/6/2008 12:00:00.000 AM,4/6/2008 01:07:36.111 PM,13.7,WE352 ,4/20/2008 12:00:00.000 AM,01/04/08
160,10800,C10800,C10800,8/3/2008 12:00:00.000 AM,8/3/2008 05:27:54.295 PM,13.7,NE172 ,9/2/2008 12:00:00.000 AM,10/08/08
161,10344,C10344,C10344,11/11/2008 12:00:00.000 AM,11/11/2008 06:24:36.075 PM,13.7,SC328 ,12/13/2008 12:00:00.000 AM,20/12/08
162,13003,C13003,C13003,2/5/2008 12:00:00.000 AM,2/5/2008 09:25:36.169 AM,13.7,SE133 ,2/20/2008 12:00:00.000 AM,07/03/08
163,10751,C10751,C10751,12/10/2008 12:00:00.000 AM,12/10/2008 01:32:59.136 AM,13.7,NC232 ,1/22/2009 12:00:00.000 AM,25/01/09
164,12303,C12303,C12303,6/26/2008 12:00:00.000 AM,6/26/2008 03:29:06.075 PM,13.7,NC358 ,7/13/2008 12:00:00.000 AM,23/07/08
165,10421,C10421,C10421,10/20/2008 12:00:00.000 AM,10/20/2008 08:07:39.114 PM,11.15,WE286 ,11/20/2008 12:00:00.000 AM,30/11/08
166,12064,C12064,C12064,1/28/2008 12:00:00.000 AM,1/28/2008 01:13:54.169 PM,11.15,NE106 ,2/26/2008 12:00:00.000 AM,07/03/08
